#uidA	uidB	altA	altB	aliasA	aliasB	method	author	pmids	taxa	taxb	interactionType	sourcedb	interactionIdentifier	confidence	expansion	biological_role_A	biological_role_B	experimental_role_A	experimental_role_B	interactor_type_A	interactor_type_B	xrefs_A	xrefs_B	xrefs_Interaction	Annotations_A	Annotations_B	Annotations_Interaction	Host_organism_taxid	parameters_Interaction	Creation_date	Update_date	Checksum_A	Checksum_B	Checksum_Interaction	Negative	OriginalReferenceA	OriginalReferenceB	FinalReferenceA	FinalReferenceB	MappingScoreA	MappingScoreB	irogida	irogidb	irigid	crogida	crogidb	crigid	icrogida	icrogidb	icrigid	imex_id	edgetype	numParticipants
refseq:NP_036618	refseq:NP_001139118	entrezgene/locuslink:5664|refseq:NP_036618|rogid:VEO+T8cclis/OGgj1wdptkak0889606|irogid:4514936	entrezgene/locuslink:145842|entrezgene/locuslink:83464|refseq:NP_001139118|rogid:ddaTxKsAJMgw7d5gPCaRQtqPBUg9606|irogid:1538137	hgnc:PSEN2|crogid:r/ICIorzrcFsV/vnZZAO723pNGI9606|icrogid:49124104	hgnc:APH1B|crogid:w8GOGnbWB3OPYAAfOxy/YCzlXPo9606|icrogid:4652499	MI:0493(in vivo)	-	pubmed:12297508	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)	hprd:-|rigid:xUPTt0FJyZzntCdKb9sHdE4/FMo|edgetype:X	hpr:27|lpr:27|np:1	none	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0326(protein)	MI:0326(protein)	-	-	-	-	-	-	-	-	2013-03-02	2013-03-02	rogid:VEO+T8cclis/OGgj1wdptkak0889606	rogid:ddaTxKsAJMgw7d5gPCaRQtqPBUg9606	rigid:xUPTt0FJyZzntCdKb9sHdE4/FMo	false	entrezgene:5664	entrezgene:83464	refseq:NP_036618	refseq:NP_001139118	STGD+O	STGD+O	4514936	1538137	1125160	r/ICIorzrcFsV/vnZZAO723pNGI9606	w8GOGnbWB3OPYAAfOxy/YCzlXPo9606	iXaeII6/+wFGdBLXiJ+5CDQSAPQ	49124104	4652499	1451170	-	X	2
uniprotkb:Q5RL73	uniprotkb:P50591	entrezgene/locuslink:84060|refseq:NM_032120|refseq:NP_115496|rogid:BnBn7WG9pDLy56v88coNY6I9waI9606|irogid:1258659	entrezgene/locuslink:8743|genbank_protein_gi:4507593|refseq:NM_003810|rogid:hnOC/z7IWh8JRE86qlqUdVvNDUM9606|irogid:2251971	hgnc:RBM48|uniprotkb:RBM48_HUMAN|crogid:1il9Vt0U6BcSfvF4H4CQpbemKKE9606|icrogid:23415319	hgnc:TNFSF10|uniprotkb:Q6IBA9_HUMAN|uniprotkb:TNF10_HUMAN|crogid:hnOC/z7IWh8JRE86qlqUdVvNDUM9606|icrogid:2251971	MI:0018(two hybrid)	-	pubmed:16169070	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)	hprd:-|rigid:B53BaGwzyUCP0U4J7zbDp+xLsig|edgetype:X	hpr:47500|lpr:6860|np:2	none	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0326(protein)	MI:0326(protein)	-	-	-	-	-	-	-	-	2013-03-02	2013-03-02	rogid:BnBn7WG9pDLy56v88coNY6I9waI9606	rogid:hnOC/z7IWh8JRE86qlqUdVvNDUM9606	rigid:B53BaGwzyUCP0U4J7zbDp+xLsig	false	uniprot:Q5RL73	entrezgene:8743	uniprotkb:Q5RL73	refseq:NP_003801	STD+O	SGD+O	1258659	2251971	737885	1il9Vt0U6BcSfvF4H4CQpbemKKE9606	hnOC/z7IWh8JRE86qlqUdVvNDUM9606	Fh6aPOaDtxN+uEWA15zRGK1SJBs	23415319	2251971	1318603	-	X	2
refseq:NP_203698	refseq:NP_874392	entrezgene/locuslink:983|refseq:NP_203698|rogid:SKkKC1pYdWsHYiEcr2hlQKCRVQc9606|irogid:4050459	entrezgene/locuslink:1390|refseq:NP_874392|rogid:qrY+Q7wXIFOHPukrCdJP/osN7io9606|irogid:5823186	hgnc:CDK1|crogid:8geyXVp0Rpm8sG8I76/XgWsZ4JA9606|icrogid:857930	hgnc:CREM|crogid:VRfD6rVsqko5byGguyG5su7OeRo9606|icrogid:11792364	MI:0492(in vitro)	-	pubmed:8404858	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)	hprd:-|rigid:Z+1oaq3Xt4c9nTeuHUianXyvFFc|edgetype:X	hpr:10|lpr:10|np:1	none	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0326(protein)	MI:0326(protein)	-	-	-	-	-	-	-	-	2013-03-02	2013-03-02	rogid:SKkKC1pYdWsHYiEcr2hlQKCRVQc9606	rogid:qrY+Q7wXIFOHPukrCdJP/osN7io9606	rigid:Z+1oaq3Xt4c9nTeuHUianXyvFFc	false	entrezgene:983	entrezgene:1390	refseq:NP_203698	refseq:NP_874392	STGD+O	STGD+O	4050459	5823186	1145021	8geyXVp0Rpm8sG8I76/XgWsZ4JA9606	VRfD6rVsqko5byGguyG5su7OeRo9606	2OlcL0RXIQqvZMRnDiWJ7J8AIeA	857930	11792364	1210104	-	X	2
uniprotkb:Q5RL73	uniprotkb:Q14061	entrezgene/locuslink:84060|refseq:NM_032120|refseq:NP_115496|rogid:BnBn7WG9pDLy56v88coNY6I9waI9606|irogid:1258659	entrezgene/locuslink:10063|refseq:NP_005685|uniprotkb:Q14061|rogid:DduAgG449PBuqu3MF3MBChmg6t09606|irogid:1541204	hgnc:RBM48|uniprotkb:RBM48_HUMAN|crogid:1il9Vt0U6BcSfvF4H4CQpbemKKE9606|icrogid:23415319	hgnc:COX17|uniprotkb:COX17_HUMAN|crogid:5SVrGmO/ffnKElhXAyP3VVrtiWA9606|icrogid:25278352	MI:0018(two hybrid)	-	pubmed:16169070	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)	hprd:-|rigid:7vQxaGccQ18nIY0ipwE6wbjY1IM|edgetype:X	hpr:47500|lpr:6860|np:2	none	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0326(protein)	MI:0326(protein)	-	-	-	-	-	-	-	-	2013-03-02	2013-03-02	rogid:BnBn7WG9pDLy56v88coNY6I9waI9606	rogid:DduAgG449PBuqu3MF3MBChmg6t09606	rigid:7vQxaGccQ18nIY0ipwE6wbjY1IM	false	uniprot:Q5RL73	uniprot:Q14061	uniprotkb:Q5RL73	uniprotkb:Q14061	STD+O	SD+O	1258659	1541204	700911	1il9Vt0U6BcSfvF4H4CQpbemKKE9606	5SVrGmO/ffnKElhXAyP3VVrtiWA9606	E241TRvxdhciAQfAKClSRe5Hz+s	23415319	25278352	1311082	-	X	2
uniprotkb:P06493	uniprotkb:Q92574	entrezgene/locuslink:983|genbank_protein_gi:4502709|refseq:NP_001777|rogid:8geyXVp0Rpm8sG8I76/XgWsZ4JA9606|irogid:857930	entrezgene/locuslink:7248|genbank_protein_gi:4507693|refseq:NP_000359|rogid:Frpc4GasNNqHfgr9tr7TUPfKZx09606|irogid:1942456	hgnc:CDK1|uniprotkb:CDK1_HUMAN|crogid:8geyXVp0Rpm8sG8I76/XgWsZ4JA9606|icrogid:857930	hgnc:TSC1|uniprotkb:TSC1_HUMAN|crogid:Frpc4GasNNqHfgr9tr7TUPfKZx09606|icrogid:1942456	MI:0064(interologs mapping)	-	pubmed:15657099	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0191(aggregation)	MI:0000(ophid)	ophid:-|rigid:T2LtcuR7b2vfUeVgxxUDPweqAT4|edgetype:X	hpr:47500|lpr:5|np:2	none	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0326(protein)	MI:0326(protein)	-	-	-	-	-	-	-	-	2013-03-02	2013-03-02	rogid:8geyXVp0Rpm8sG8I76/XgWsZ4JA9606	rogid:Frpc4GasNNqHfgr9tr7TUPfKZx09606	rigid:T2LtcuR7b2vfUeVgxxUDPweqAT4	false	Swiss-Prot:P06493	Swiss-Prot:Q92574	uniprotkb:P06493	uniprotkb:Q92574	PD	PD	857930	1942456	1044057	8geyXVp0Rpm8sG8I76/XgWsZ4JA9606	Frpc4GasNNqHfgr9tr7TUPfKZx09606	T2LtcuR7b2vfUeVgxxUDPweqAT4	857930	1942456	1044057	-	X	2
uniprotkb:Q5RL73	uniprotkb:Q12988	entrezgene/locuslink:84060|refseq:NM_032120|refseq:NP_115496|rogid:BnBn7WG9pDLy56v88coNY6I9waI9606|irogid:1258659	entrezgene/locuslink:112573|entrezgene/locuslink:115842|entrezgene/locuslink:8988|rogid:g8JQ9Pld5s4HQdM+yJrMv7qgf+Y9606|irogid:2012175	hgnc:RBM48|uniprotkb:RBM48_HUMAN|crogid:1il9Vt0U6BcSfvF4H4CQpbemKKE9606|icrogid:23415319	hgnc:HSPB3|uniprotkb:HSPB3_HUMAN|uniprotkb:Q6ICS9_HUMAN|crogid:g8JQ9Pld5s4HQdM+yJrMv7qgf+Y9606|icrogid:2012175	MI:0018(two hybrid)	-	pubmed:16169070	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)	hprd:-|rigid:Cfa91qZgSvOKyM6Ng6Fd8EIjZI4|edgetype:X	hpr:47500|lpr:6860|np:2	none	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0326(protein)	MI:0326(protein)	-	-	-	-	-	-	-	-	2013-03-02	2013-03-02	rogid:BnBn7WG9pDLy56v88coNY6I9waI9606	rogid:g8JQ9Pld5s4HQdM+yJrMv7qgf+Y9606	rigid:Cfa91qZgSvOKyM6Ng6Fd8EIjZI4	false	uniprot:Q5RL73	entrezgene:8988	uniprotkb:Q5RL73	refseq:NP_006299	STD+O	SGD	1258659	2012175	758968	1il9Vt0U6BcSfvF4H4CQpbemKKE9606	g8JQ9Pld5s4HQdM+yJrMv7qgf+Y9606	3iM4vy55+Go/F/4RniUL1tyG5XM	23415319	2012175	1263299	-	X	2
uniprotkb:P41220	uniprotkb:Q9UBQ0	entrezgene/locuslink:5997|refseq:NP_002914|uniprotkb:P41220|rogid:7tdfhNRRyaPKS2taH6iurdHCZ+s9606|irogid:808478	entrezgene/locuslink:51699|pdb:1W24|pdb:1W24_A|rogid:xjo28jAH7expkdli0DENjzLXpjw9606|irogid:4870721	hgnc:RGS2|uniprotkb:RGS2_HUMAN|crogid:7tdfhNRRyaPKS2taH6iurdHCZ+s9606|icrogid:808478	hgnc:VPS29|uniprotkb:VPS29_HUMAN|crogid:kmrTWAAQyBRkWRCKg87+TfexmMY9606|icrogid:45987819	MI:0398(two hybrid pooling approach)	stelzl-2005-1	pubmed:16169070	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0469(intact)	intact:EBI-735623|rigid:FKmVgVV8Fv0uogCvSHpMWppgFUg|edgetype:X	hpr:47500|lpr:4128|np:3	none	MI:0499(unspecified role)	MI:0499(unspecified role)	MI:0496(bait)	MI:0498(prey)	MI:0326(protein)	MI:0326(protein)	-	-	-	-	-	-	taxid:4932(Saccharomyces cerevisiae)	-	2013-03-02	2013-03-02	rogid:7tdfhNRRyaPKS2taH6iurdHCZ+s9606	rogid:xjo28jAH7expkdli0DENjzLXpjw9606	rigid:FKmVgVV8Fv0uogCvSHpMWppgFUg	false	uniprotkb:P41220	uniprotkb:Q9UBQ0	uniprotkb:P41220	uniprotkb:Q9UBQ0	P	P	808478	4870721	812734	7tdfhNRRyaPKS2taH6iurdHCZ+s9606	kmrTWAAQyBRkWRCKg87+TfexmMY9606	a1Vx7ZivGEKdt5hO358dumQ6OFI	808478	45987819	1412173	-	X	2
uniprotkb:Q5RL73	refseq:NM_005838	entrezgene/locuslink:84060|refseq:NM_032120|refseq:NP_115496|rogid:BnBn7WG9pDLy56v88coNY6I9waI9606|irogid:1258659	entrezgene/locuslink:10249|refseq:NM_005838|refseq:NP_005829|rogid:eo7kG4ok7x9EgIg9pr0Oyr4teUU9606|irogid:42998599	hgnc:RBM48|uniprotkb:RBM48_HUMAN|crogid:1il9Vt0U6BcSfvF4H4CQpbemKKE9606|icrogid:23415319	hgnc:GLYAT|crogid:7Q3j6NvssUY3jEGbaNgWq261mrE9606|icrogid:9442405	MI:0018(two hybrid)	-	pubmed:16169070	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)	hprd:-|rigid:aFquaVEbODUowj27louYhWYHhnY|edgetype:X	hpr:6860|lpr:6860|np:1	none	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0326(protein)	MI:0326(protein)	-	-	-	-	-	-	-	-	2013-03-02	2013-03-02	rogid:BnBn7WG9pDLy56v88coNY6I9waI9606	rogid:eo7kG4ok7x9EgIg9pr0Oyr4teUU9606	rigid:aFquaVEbODUowj27louYhWYHhnY	false	uniprot:Q5RL73	entrezgene:10249	uniprotkb:Q5RL73	refseq:NP_005829	STD+O	SGD+O	1258659	42998599	1413179	1il9Vt0U6BcSfvF4H4CQpbemKKE9606	7Q3j6NvssUY3jEGbaNgWq261mrE9606	+mPRzYZ/pkjsLnGnmC5FGLY6vQk	23415319	9442405	1240588	-	X	2
uniprotkb:P30793	uniprotkb:P30039	entrezgene/locuslink:2643|entrezgene/locuslink:51658|entrezgene/locuslink:93984|rogid:9z/ipW7g2/eM/he2GvH8TndDK9I9606|irogid:988801	entrezgene/locuslink:64081|refseq:NP_071412|uniprotkb:P30039|rogid:XTFfCWj5dNhCPeca12Vaot4LiUM9606|irogid:4921070	hgnc:GCH1|uniprotkb:GCH1_HUMAN|crogid:9z/ipW7g2/eM/he2GvH8TndDK9I9606|icrogid:988801	hgnc:PBLD|uniprotkb:PBLD_HUMAN|crogid:XTFfCWj5dNhCPeca12Vaot4LiUM9606|icrogid:4921070	MI:0064(interologs mapping)	-	pubmed:15657099	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0191(aggregation)	MI:0000(ophid)	ophid:-|rigid:vDrz2vgI5WU9U809vGaIgADjOJ8|edgetype:X	hpr:47500|lpr:47500|np:1	none	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0326(protein)	MI:0326(protein)	-	-	-	-	-	-	-	-	2013-03-02	2013-03-02	rogid:9z/ipW7g2/eM/he2GvH8TndDK9I9606	rogid:XTFfCWj5dNhCPeca12Vaot4LiUM9606	rigid:vDrz2vgI5WU9U809vGaIgADjOJ8	false	Swiss-Prot:P30793	Swiss-Prot:P30039	uniprotkb:P30793	uniprotkb:P30039	PD	PD	988801	4921070	1082031	9z/ipW7g2/eM/he2GvH8TndDK9I9606	XTFfCWj5dNhCPeca12Vaot4LiUM9606	vDrz2vgI5WU9U809vGaIgADjOJ8	988801	4921070	1082031	-	X	2
uniprotkb:Q5RL73	refseq:NP_001003676	entrezgene/locuslink:84060|refseq:NM_032120|refseq:NP_115496|rogid:BnBn7WG9pDLy56v88coNY6I9waI9606|irogid:1258659	entrezgene/locuslink:79096|refseq:NP_001003676|rogid:OWMOEz5Lfon8xHMn4YaYL5LMC409606|irogid:34825372	hgnc:RBM48|uniprotkb:RBM48_HUMAN|crogid:1il9Vt0U6BcSfvF4H4CQpbemKKE9606|icrogid:23415319	hgnc:C11orf49|crogid:Oao8NIAnfftuY6pDEEtZOEC2Ods9606|icrogid:3340496	MI:0018(two hybrid)	-	pubmed:16169070	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)	hprd:-|rigid:NUezjfZ+h9/6Hl6sygnU8ftG3Cc|edgetype:X	hpr:6860|lpr:6860|np:1	none	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0326(protein)	MI:0326(protein)	-	-	-	-	-	-	-	-	2013-03-02	2013-03-02	rogid:BnBn7WG9pDLy56v88coNY6I9waI9606	rogid:OWMOEz5Lfon8xHMn4YaYL5LMC409606	rigid:NUezjfZ+h9/6Hl6sygnU8ftG3Cc	false	uniprot:Q5RL73	entrezgene:79096	uniprotkb:Q5RL73	refseq:NP_001003676	STD+O	SGD+O	1258659	34825372	1354560	1il9Vt0U6BcSfvF4H4CQpbemKKE9606	Oao8NIAnfftuY6pDEEtZOEC2Ods9606	AjHAx4R2Iuz0VnzFj9JKd1kUAXk	23415319	3340496	1295666	-	X	2
