"ID(s) interactor A"	"ID(s) interactor B"	"Alt. ID(s) interactor A"	"Alt. ID(s) interactor B"	"Alias(es) interactor A"	"Alias(es) interactor B"	"Interaction detection method(s)"	"Publication 1st author(s)"	"Publication Identifier(s)"	"Taxid interactor A"	"Taxid interactor B"	"Interaction type(s)"	"Source database(s)"	"Interaction identifier(s)"	"Confidence value(s)"	"Experimental role(s) interactor A"	"Experimental role(s) interactor B"	"Properties interactor A"	"Properties interactor B"	"HostOrganism(s)"
uniprotkb:Q14141	uniprotkb:Q96B97	uniprotkb:SEPT6(gene name)	uniprotkb:SH3KBP1(gene name)	-	-	MI:0004(affinity chromatography technology)	-	pubmed:19531213	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	(biogrid)	BIOGRID_185461	-	prey	bait	go:GO:0005525|go:GO:0043679|go:GO:0007049|go:GO:0032154|go:GO:0000777|go:GO:0000910|go:GO:0005737|go:GO:0030496|go:GO:0031105|go:GO:0005819|go:GO:0008021|go:GO:0019048	go:GO:0006915|go:GO:0016477|go:GO:0007267|go:GO:0030659|go:GO:0005856|go:GO:0007010|go:GO:0005829|go:GO:0006897|go:GO:0007173|go:GO:0005925|go:GO:0042059|go:GO:0043005|go:GO:0005886|go:GO:0008360|go:GO:0045202	unspecified:32644
uniprotkb:P04637	uniprotkb:P36956	uniprotkb:p53(gene name)	uniprotkb:SREBF1(gene name)	-	-	MI:0030(cross-linking study)|MI:0030(cross-linking study)	-	pubmed:22265415|pubmed:22265415	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0469(intact)|MI:0469(intact)	IntAct_123661|IntAct_123662	-	bait|bait	null|null	go:GO:0005524|go:GO:0002326|go:GO:0006977|go:GO:0006978|go:GO:0000733|go:GO:0006983|go:GO:0016605|go:GO:0001077|go:GO:0001228|go:GO:0007265|go:GO:0033077|go:GO:0002360|go:GO:0002309|go:GO:0006284|go:GO:0007596|go:GO:0007050|go:GO:0030154|go:GO:0008283|go:GO:0034613|go:GO:0034644|go:GO:0035690|go:GO:0042149|go:GO:0071456|go:GO:0071479|go:GO:0007417|go:GO:0005678|go:GO:0003682|go:GO:0051276|go:GO:0005507|go:GO:0005737|go:GO:0005829|go:GO:0003684|go:GO:0008340|go:GO:0006302|go:GO:0005783|go:GO:0007369|go:GO:0035033|go:GO:0001701|go:GO:0006917|go:GO:0072332|go:GO:0042771|go:GO:0005739|go:GO:0071850|go:GO:0035264|go:GO:0008156|go:GO:0043066|go:GO:0030308|go:GO:0048147|go:GO:0051097|go:GO:0007406|go:GO:0000122|go:GO:0030512|go:GO:0051402|go:GO:0000790|go:GO:0016363|go:GO:0005730|go:GO:0006289|go:GO:0005634|go:GO:0090403|go:GO:0090343|go:GO:0031065|go:GO:2001244|go:GO:0043525|go:GO:0050731|go:GO:0032461|go:GO:2000379|go:GO:0090200|go:GO:0070245|go:GO:0045944|go:GO:0000060|go:GO:0008104|go:GO:0051262|go:GO:0009303|go:GO:0046902|go:GO:0001836|go:GO:0005657|go:GO:0090399|go:GO:0010165|go:GO:0046677|go:GO:0010332|go:GO:0009651|go:GO:0001756|go:GO:0044212|go:GO:0007179|go:GO:0019048|go:GO:0008270	go:GO:0012507|go:GO:0000139|go:GO:0009267|go:GO:0008203|go:GO:0005783|go:GO:0005789|go:GO:0016021|go:GO:0008610|go:GO:0005635|go:GO:0005634|go:GO:0045944|go:GO:0010867|go:GO:0006357|go:GO:0003700|go:GO:0032810|go:GO:0006351	human-293:9606|human-293:9606
uniprotkb:Q15717	uniprotkb:Q7Z5K2	uniprotkb:ELAVL1(gene name)	uniprotkb:WAPAL(gene name)	-	-	MI:0096(pull down)	-	pubmed:19322201	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	(biogrid)	BIOGRID_181001	-	bait	prey	go:GO:0070935|go:GO:0017091|go:GO:0005829|go:GO:0010467|go:GO:0003729|go:GO:0016071|go:GO:0007275|go:GO:0005654|go:GO:0000166|go:GO:0045727	go:GO:0051301|go:GO:0000785|go:GO:0008278|go:GO:0005737|go:GO:0015630|go:GO:0007067|go:GO:0008156|go:GO:0035562|go:GO:0045875|go:GO:0005634|go:GO:0071168|go:GO:0071922|go:GO:0009636|go:GO:0000795|go:GO:0019048	unspecified:32644
uniprotkb:P00492	uniprotkb:Q93034	uniprotkb:HPRT1(gene name)	uniprotkb:CUL5(gene name)	-	-	MI:0004(affinity chromatography technology)	-	pubmed:21145461	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	(biogrid)	BIOGRID_197933	-	prey	bait	go:GO:0046038|go:GO:0032263|go:GO:0032264|go:GO:0006168|go:GO:0007610|go:GO:0021954|go:GO:0021895|go:GO:0019835|go:GO:0005829|go:GO:0048813|go:GO:0042417|go:GO:0007625|go:GO:0052657|go:GO:0006178|go:GO:0004422|go:GO:0043103|go:GO:0046651|go:GO:0000287|go:GO:0000166|go:GO:0045964|go:GO:0051289|go:GO:0006166|go:GO:0001975|go:GO:0007283|go:GO:0021756	go:GO:0031466|go:GO:0000082|go:GO:0005262|go:GO:0007050|go:GO:0008283|go:GO:0005829|go:GO:0097193|go:GO:0008285|go:GO:0016567|go:GO:0004872|go:GO:0006511|go:GO:0016032|go:GO:0019048	unspecified:32644
uniprotkb:P21675	uniprotkb:Q92804	uniprotkb:TAF1(gene name)	uniprotkb:TAF15(gene name)	-	-	MI:0493(in vivo)	-	pubmed:8663456	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)	HPRD_5917	-	-	-	go:GO:0005524|go:GO:0000080|go:GO:0071339|go:GO:0051123|go:GO:0004402|go:GO:0018105|go:GO:0018107|go:GO:0032436|go:GO:0045944|go:GO:0060261|go:GO:0046777|go:GO:0004674|go:GO:0000117|go:GO:0006974|go:GO:0043565|go:GO:0003713|go:GO:0006368|go:GO:0005669|go:GO:0016032|go:GO:0019048	go:GO:0003677|go:GO:0003723|go:GO:0005737|go:GO:0000166|go:GO:0005634|go:GO:0045893|go:GO:0008270	-
uniprotkb:Q05513	uniprotkb:Q14449	uniprotkb:PRKCZ(gene name)	uniprotkb:GRB14(gene name)	-	-	MI:0096(pull down)|MI:0493(in vivo)	-	pubmed:12242277|pubmed:12242277	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|-	(biogrid)|MI:0468(hprd)	BIOGRID_92957|HPRD_2150	-	prey|-	bait|-	go:GO:0005524|go:GO:0006916|go:GO:0045179|go:GO:0016324|go:GO:0005911|go:GO:0005737|go:GO:0005768|go:GO:0030010|go:GO:0006954|go:GO:0035556|go:GO:0060291|go:GO:0000226|go:GO:0035748|go:GO:0046627|go:GO:0050732|go:GO:0031333|go:GO:0005635|go:GO:0016363|go:GO:0018105|go:GO:0005886|go:GO:0030168|go:GO:0070374|go:GO:0051092|go:GO:2000553|go:GO:0045630|go:GO:2000463|go:GO:0046628|go:GO:2001181|go:GO:2000667|go:GO:0032753|go:GO:2000664|go:GO:0043234|go:GO:0004697|go:GO:0072659|go:GO:0004674|go:GO:0005923|go:GO:0007179|go:GO:0008270	go:GO:0000139|go:GO:0007596|go:GO:0005829|go:GO:0010008|go:GO:0008286|go:GO:0043231|go:GO:0035556|go:GO:0050900|go:GO:0046627|go:GO:0005543|go:GO:0005886|go:GO:0007165	unspecified:32644|-
uniprotkb:P07900	uniprotkb:Q7L3B6	uniprotkb:HSP90AA1(gene name)	uniprotkb:CDC37L1(gene name)	-	-	MI:0493(in vivo)	-	pubmed:15850399	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)	HPRD_26563	-	-	-	go:GO:0005524|go:GO:0016887|go:GO:0000086|go:GO:0007411|go:GO:0051131|go:GO:0005829|go:GO:0042470|go:GO:0046209|go:GO:0030235|go:GO:0005886|go:GO:0045429|go:GO:0045040|go:GO:0042026|go:GO:0050999|go:GO:0006986|go:GO:0007165	go:GO:0005737	-
uniprotkb:Q969R5	uniprotkb:Q9HAF1	uniprotkb:L3MBTL2(gene name)	uniprotkb:MEAF6(gene name)	-	-	MI:0398(two hybrid pooling approach)|MI:0018(two hybrid)|MI:0398(two hybrid pooling approach)|MI:0018(two hybrid)	-	pubmed:16189514|pubmed:16189514|pubmed:16189514|pubmed:16189514	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)|-	MI:0469(intact)|(biogrid)|MI:0469(intact)|MI:0468(hprd)	IntAct_103356|BIOGRID_71381|IntAct_105356|HPRD_23825	-	unspecified role|prey|unspecified role|-	unspecified role|bait|unspecified role|-	go:GO:0016568|go:GO:0005634|go:GO:0006355|go:GO:0003714|go:GO:0006351|go:GO:0008270	go:GO:0070776|go:GO:0035267|go:GO:0005813|go:GO:0043968|go:GO:0044154|go:GO:0043983|go:GO:0043981|go:GO:0043982|go:GO:0005730|go:GO:0006355|go:GO:0006351	yeasx:4932|unspecified:32644|yeasx:4932|-
uniprotkb:P0CG48	uniprotkb:P53602	uniprotkb:UBC(gene name)	uniprotkb:MVD(gene name)	-	-	MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	-	pubmed:21906983|pubmed:21139048	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	(biogrid)|(biogrid)	BIOGRID_174066|BIOGRID_164829	-	bait|bait	prey|prey	go:GO:0006977|go:GO:0006281|go:GO:0000080|go:GO:0000082|go:GO:0007249|go:GO:0007254|go:GO:0000216|go:GO:0002755|go:GO:0007220|go:GO:0007219|go:GO:0000084|go:GO:0050852|go:GO:0035666|go:GO:0008063|go:GO:0000187|go:GO:0031145|go:GO:0006916|go:GO:0002479|go:GO:0006915|go:GO:0016044|go:GO:0019221|go:GO:0005829|go:GO:0046788|go:GO:0030666|go:GO:0016197|go:GO:0010008|go:GO:0007173|go:GO:0008543|go:GO:0008624|go:GO:0045087|go:GO:0016071|go:GO:0042059|go:GO:0000122|go:GO:0030512|go:GO:0032480|go:GO:0051436|go:GO:0048011|go:GO:0005654|go:GO:0070423|go:GO:0005886|go:GO:0043123|go:GO:0051092|go:GO:0045944|go:GO:0051437|go:GO:0000209|go:GO:0061418|go:GO:0034130|go:GO:0034134|go:GO:0034138|go:GO:0034142|go:GO:0006367|go:GO:0007179	go:GO:0005524|go:GO:0006695|go:GO:0005829|go:GO:0004163|go:GO:0019287|go:GO:0008299|go:GO:0008284|go:GO:0042493	unspecified:32644|unspecified:32644
uniprotkb:P11487	uniprotkb:P15880	uniprotkb:FGF3(gene name)	uniprotkb:RPS2(gene name)	-	-	MI:0493(in vivo)|MI:0018(two hybrid)	-	pubmed:16263090|pubmed:16263090	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-|MI:0407(direct interaction)	MI:0468(hprd)|(biogrid)	HPRD_19291|BIOGRID_176482	-	-|bait	-|prey	go:GO:0005794|go:GO:0009653|go:GO:0007267|go:GO:0005576|go:GO:0008543|go:GO:0008286|go:GO:0055026|go:GO:0001759|go:GO:0030916|go:GO:0051781|go:GO:0008284|go:GO:0048752|go:GO:0048538	go:GO:0003723|go:GO:0006614|go:GO:0022627|go:GO:0000184|go:GO:0005654|go:GO:0003735|go:GO:0006414|go:GO:0006413|go:GO:0006415|go:GO:0019083	-|unspecified:32644
