uniprotkb	uniprotkb	proteinName	proteinName	PubmedID	Evidence
P04637	P07900	TP53	HSP90AA1	11507088, 12427754, 11297531	PINA
O60551	P04637	NMT2	TP53	16530191	PINA
O75486	P04637	SUPT3H	TP53	18250150	PINA
P04637	Q9BY41	TP53	HDAC8	17721440	PINA
P04637	P13497	TP53	BMP1	18624398	PINA
O14503	P04637	BHLHE40	TP53	17347673	PINA
P04637	Q9BWC9	TP53	CCDC106	20159018, 16169070	PINA
P04637	P36873	TP53	PPP1CC	17274640	PINA
P04637	Q9BX70	TP53	BTBD2	16169070	PINA
P04637	Q9BVP2	TP53	GNL3	12464630	PINA
P04637	Q9BTV7	TP53	CABLES2	14637168	PINA
P04637	Q9BUJ2	TP53	HNRNPUL1	15907477	PINA
P00390	P32930	GSR	OCM2	2306116	PINA
P54259	Q96QZ7	ATN1	MAGI1	9647693	PINA
P04637	Q9BV47	TP53	DUSP26	20562916	PINA
O15151	P04637	MDM4	TP53	16227609, 15604276, 20515689, 18485870, 10.1038/emboj.2009.154, 9226370, 17875722, 8895579, 12393902, 16024788, 11223036	PINA
P04637	Q9BT78	TP53	COPS4	11285227	PINA
P04637	P21673	TP53	SAT1	16169070	PINA
P04637	P21675	TP53	TAF1	10359315	PINA
P56524	Q12888	HDAC4	TP53BP1	12668657	PINA
P04637	Q9BTK6	TP53	PA1	19039327	PINA
Q12840	Q13625	KIF5A	TP53BP2	16169070	PINA
P62136	Q13625	PPP1CA	TP53BP2	15231748	PINA
P04637	Q02880	TP53	TOP2B	10666337	PINA
P16104	Q12888	H2AFX	TP53BP1	15364958, 18001824, 18001825, 12447390, 12697768, 17024177, 12607005	PINA
O43715	P04637	TRIAP1	TP53	15735003	PINA
O14514	Q96QZ7	BAI1	MAGI1	9647739	PINA
P04637	P13639	TP53	EEF2	12891704	PINA
P04637	P13693	TP53	TPT1	21081126	PINA
O75534	P01241	CSDE1	GH1	17353931	PINA
P04637	P07384	TP53	CAPN1	12432277	PINA
P04637	P25963	TP53	NFKBIA	11799106	PINA
O00231	P04637	PSMD11	TP53	16169070	PINA
P04637	Q9BQD7	TP53	FAM173A	16169070	PINA
P04637	P19544	TP53	WT1	8389468	PINA
P04637	P19525	TP53	EIF2AK2	10348343	PINA
P01241	Q15185	GH1	PTGES3	17353931	PINA
P01241	Q9Y262	GH1	EIF3L	17353931	PINA
P04637	Q06609	TP53	RAD51	15064730, 9380510, 8617246, 14636569, 16983346	PINA
P04637	Q9C0J8	TP53	WDR33	16169070	PINA
P01241	Q9Y297	GH1	BTRC	17500058	PINA
P04637	Q92922	TP53	SMARCC1	18303029, 11950834	PINA
P04637	Q92925	TP53	SMARCD2	20308539	PINA
P01241	P07355	GH1	ANXA2	17353931	PINA
P04637	Q92905	TP53	COPS5	11285227, 16936264, 17879958	PINA
P01241	P47756	GH1	CAPZB	17353931	PINA
O43474	P04637	KLF4	TP53	10749849	PINA
P04637	Q92994	TP53	BRF1	8943363	PINA
P04637	Q92993	TP53	KAT5	16601686, 18485870, 18280244, 15310756	PINA
P04637	Q02447	TP53	SP3	15790310, 12665570	PINA
P01241	Q9Y3F4	GH1	STRAP	17353931	PINA
P01241	Q9Y3D7	GH1	TIMM16	17353931	PINA
P04637	P41218	TP53	MNDA	16458891	PINA
P04637	P41235	TP53	HNF4A	11818510	PINA
O60936	P04637	NOL3	TP53	18087040	PINA
Q04206	Q12888	RELA	TP53BP1	10646849	PINA
P01241	Q15019	GH1	SEPT2	17353931	PINA
P04637	P19447	TP53	ERCC3	7663514	PINA
