uniprotkb	uniprotkb	geneName	geneName	PubMedID	evidence	edgeValue
Q5RL73	P50591	RBM48	TNFSF10	16169070	iRefIndex	1.000
Q5RL73	Q14061	RBM48	COX17	16169070	iRefIndex	1.000
P06493	Q92574	CDK1	TSC1	15657099	iRefIndex	1.000
Q5RL73	Q12988	RBM48	HSPB3	16169070	iRefIndex	1.000
P41220	Q9UBQ0	RGS2	VPS29	16169070	iRefIndex	1.000
P30793	P30039	GCH1	PBLD	15657099	iRefIndex	1.000
Q9H0Y0	H7C2R3	ATG10	ATG7	20562859	iRefIndex	1.000
P31150	P60953	GDI1	CDC42	11583574	iRefIndex	1.000
Q5RL73	Q5RL73	RBM48	RBM48	16169070	iRefIndex	1.000
Q9GZP1	Q9H8Y5	NRSN2	ANKZF1	15657099	iRefIndex	1.000
Q5RL73	P08670	RBM48	VIM	15383276	iRefIndex	1.000
Q13315	A2I9Z2	ATM	TP53	11459832	iRefIndex	1.000
Q5RL73	P04792	RBM48	HSPB1	16169070	iRefIndex	1.000
Q13191	P00533	CBLB	EGFR	15657099	iRefIndex	1.000
Q5RL73	Q16594	RBM48	TAF9	16169070	iRefIndex	1.000
Q7CH88	Q0ZGT2	YPO1201	NEXN	20711500	iRefIndex	1.000
Q5RL73	Q9NY59	RBM48	SMPD3	16169070	iRefIndex	1.000
P30793	P30047	GCH1	GCHFR	15657099	iRefIndex	1.000
Q5RL73	P42568	RBM48	MLLT3	16169070	iRefIndex	1.000
P52435	P61246	POLR2J	RPS3A	15657099	iRefIndex	1.000
Q5RL73	Q9UN74	RBM48	PCDHA4	16169070	iRefIndex	1.000
Q9BQC3	P05198	DPH2	EIF2S1	15657099	iRefIndex	1.000
Q5RL73	Q12972	RBM48	PPP1R8	16169070	iRefIndex	1.000
P30793	P30047	GCH1	GCHFR	15657099	iRefIndex	1.000
Q5RL73	P50591	RBM48	TNFSF10	16169070	iRefIndex	1.000
P54253	Q9H4A3	ATXN1	WNK1	16713569	iRefIndex	1.000
Q5RL73	P78417	RBM48	GSTO1	16169070	iRefIndex	1.000
Q13315	Q01094	ATM	E2F1	11459832	iRefIndex	1.000
Q5RL73	Q14061	RBM48	COX17	16169070	iRefIndex	1.000
Q5RL73	P21673	RBM48	SAT1	16169070	iRefIndex	1.000
P12236	P20839	SLC25A6	IMPDH1	15657099	iRefIndex	1.000
Q5RL73	Q9C0J8	RBM48	WDR33	16169070	iRefIndex	1.000
B2RDF2	P16104	PES1	H2AFX	15657099	iRefIndex	1.000
Q5RL73	P17028	RBM48	ZNF24	16169070	iRefIndex	1.000
P30793	P00441	GCH1	SOD1	15657099	iRefIndex	1.000
Q5RL73	Q12988	RBM48	HSPB3	16169070	iRefIndex	1.000
P30793	P55789	GCH1	GFER	15657099	iRefIndex	1.000
Q5RL73	Q9H6J7	RBM48	C11orf49	16169070	iRefIndex	1.000
P30793	P26196	GCH1	DDX6	15657099	iRefIndex	1.000
Q5RL73	P08670	RBM48	VIM	15383276	iRefIndex	1.000
Q99608	P08138	NDN	NGFR	14593116	iRefIndex	1.000
Q5RL73	Q9NPF4	RBM48	OSGEP	21900206	iRefIndex	1.000
P30793	P04181	GCH1	OAT	15657099	iRefIndex	1.000
Q5RL73	A8ASI8	RBM48	BID	21900206	iRefIndex	1.000
P20823	F1D8T1	HNF1A	HNF4A	9792724	iRefIndex	1.000
Q5RL73	Q14061	RBM48	COX17	15657099	iRefIndex	1.000
O00167	P19086	EYA2	GNAZ	15657099	iRefIndex	1.000
Q5RL73	P21673	RBM48	SAT1	15657099	iRefIndex	1.000
P30793	P22314	GCH1	UBA1	15657099	iRefIndex	1.000
Q5RL73	P78417	RBM48	GSTO1	15657099	iRefIndex	1.000
O00167	P19086	EYA2	GNAZ	15657099	iRefIndex	1.000
Q5RL73	P04792	RBM48	HSPB1	15657099	iRefIndex	1.000
P20823	F1D8T1	HNF1A	HNF4A	15657099	iRefIndex	1.000
Q5RL73	Q12988	RBM48	HSPB3	15657099	iRefIndex	1.000
P20823	F1D8T1	HNF1A	HNF4A	9792724	iRefIndex	1.000
Q5RL73	Q12972	RBM48	PPP1R8	15657099	iRefIndex	1.000
P20823	F1D8T1	HNF1A	HNF4A	15657099	iRefIndex	1.000
Q5RL73	P42568	RBM48	MLLT3	15657099	iRefIndex	1.000
Q5RL73	P42568	RBM48	MLLT3	15657099	iRefIndex	1.000
Q7CLB1	Q15276	spoT	RABEP1	20711500	iRefIndex	1.000
Q5RL73	Q16594	RBM48	TAF9	15657099	iRefIndex	1.000
Q6ZRI6	P05386	C15orf39	RPLP1	15657099	iRefIndex	1.000
Q5RL73	P50591	RBM48	TNFSF10	15657099	iRefIndex	1.000
P30793	Q99880	GCH1	HIST1H2BL	15657099	iRefIndex	1.000
Q5RL73	P17028	RBM48	ZNF24	15657099	iRefIndex	1.000
B2RDF2	P16104	PES1	H2AFX	15657099	iRefIndex	1.000
Q5RL73	Q9C0J8	RBM48	WDR33	15657099	iRefIndex	1.000
Q9UKJ1	Q06124	PILRA	PTPN11	15657099	iRefIndex	1.000
Q5RL73	Q9C0J8	RBM48	WDR33	15657099	iRefIndex	1.000
Q96GQ7	Q99880	DDX27	HIST1H2BL	15657099	iRefIndex	1.000
P30793	Q99880	GCH1	HIST1H2BL	15657099	iRefIndex	1.000
P30793	Q8TAS0	GCH1	ATP5C1	15657099	iRefIndex	1.000
O00167	Q9UIU6	EYA2	SIX4	10906137	iRefIndex	1.000
