UniProt/SwissProt Accession	HGNC symbol
P03979	TRGV3
P01834	IGKC
P06314	IGKV4-1
P06313	IGKV4-1
P06312	IGKV4-1
P06315	IGKV5-2
P01602	IGKV1-5
P04434	IGKV3-7
P04433	IGKV3-11
P04207	IGKV3-15
P01621	IGKV3-20
P18136	IGKV3-20
P18135	IGKV3-20
P06310	IGKV2-30
P04431	IGKV1-39
P01614	IGKV2-40
P01834	IGKV2D-40
P01834	IGKV1D-39
P01601	IGKV1D-16
P04207	IGKV3D-15
P01877	IGHA2
P01854	IGHE
P01861	IGHG4
P01859	IGHG2
P01876	IGHA1
P01857	IGHG1
P01871	IGHM
P23083	IGHV1-2
P01764	IGHV3-23
P01743	IGHV1-46
A6NJS3	IGHV1OR21-1
P06316	IGLV1-51
P04211	IGLV7-43
P0CG04	IGLC2
P0CG04	IGLC3
A0M8Q6	IGLC7
A0A5B9	TRBC2
Q13068	GAGE4
B2CW77	KLLN
P01737	TRAV8-4
Q8N446	ZNF843
Q6UX72	B3GNT9
C9JN71	ZNF878
C9JVW0	PRR24
C9JUS6	C19orf76
B3KVV0	TMPRSS11BNL
P0C7T8	C14orf176
A6NC05	C5orf63
A8MUV8	ZNF727
P03886	MT-ND1
P03891	MT-ND2
P00395	MT-CO1
P00403	MT-CO2
P00846	MT-ATP6
P00414	MT-CO3
P03897	MT-ND3
P03901	MT-ND4L
P03905	MT-ND4
P03915	MT-ND5
P03923	MT-ND6
P00156	MT-CYB
B7Z8K6	TRDC
P03986	TRGC2
Q8NH01	OR2T11
Q8NGX2	OR2T35
P0C7T2	OR2T27
Q8NH04	OR2T27
A6ND48	OR14I1
Q7L8J4	SH3BP5L
Q499Z4	ZNF672
Q9BU19	ZNF692
Q9BU19	ZNF692
Q9BU19	ZNF692
Q6P3X8	PGBD2
O43521	BCL2L11
Q9H1A4	ANAPC1
Q12866	MERTK
Q96K49	TMEM87B
Q53RD9	FBLN7
Q8N5P1	ZC3H8
Q8N5P1	ZC3H8
P61129	ZC3H6
P61129	ZC3H6
O14715	RGPD8
O14715	RGPD8
Q8IZC7	ZNF101
P17017	ZNF14
Q5JVG8	ZNF506
Q8NG68	TTL
Q52LW3	ARHGAP29
O75346	ZNF253
P35789	ZNF93
Q9H9Y6	POLR1B
O95780	ZNF682
Q15929	ZNF682
Q03938	ZNF90
Q96H40	ZNF486
Q68DY1	ZNF626
Q68DY1	ZNF626
Q9BSY4	CHCHD5
P28288	ABCD3
Q8WUM9	SLC20A1
Q03923	ZNF85
Q9H8G1	ZNF430
Q86YG4	NT5DC4
Q96N38	ZNF714
Q8TF32	ZNF431
P17019	ZNF708
Q8NE65	ZNF738
Q8IYA6	CKAP2L
Q6ZR52	ZNF493
Q6ZR52	ZNF493
P01583	IL1A
Q86V71	ZNF429
Q8IYN0	ZNF100
P01584	IL1B
P13726	F3
P17038	ZNF43
O43345	ZNF208
Q9NZH6	IL37
Q9Y2Q1	ZNF257
Q9Y2Q1	ZNF257
Q8N7Q3	ZNF676
A6NN14	ZNF729
A6NK75	ZNF98
Q9P255	ZNF492
Q9NZH8	IL36G
Q9UHA7	IL36A
Q9NZH7	IL36B
Q8N4M1	SLC44A3
Q9UBH0	IL36RN
Q9UBH0	IL36RN
Q8WWZ1	IL1F10
Q8WWZ1	IL1F10
A8MXY4	ZNF99
Q6ZMV8	ZNF730
A8MTY0	ZNF724P
Q05481	ZNF91
Q05481	ZNF91
Q8TD23	ZNF675
P18510	IL1RN
Q96N22	ZNF681
Q8NDX1	PSD4
A8MSQ6	ZNF726
A6NNF4	ZNF726
O75437	ZNF254
P47985	UQCRFS1
P0C7P4	UQCRFS1
A6NLU5	VSTM2B
O95707	POP4
Q06710	PAX8
Q96S99	PLEKHF1
Q9NSK7	C19orf12
Q9NSK7	C19orf12
P24864	CCNE1
Q15417	CNN3
Q8IUF1	CBWD2
O94763	C19orf2
Q96F25	ALG14
O15090	ZNF536
Q96MV1	TMEM56
Q63HK5	TSHZ3
Q8TCN5	ZNF507
Q8TCN5	ZNF507
Q9NU39	FOXD4L1
Q9Y3V2	RWDD3
Q9UBK7	RABL2A
Q6ZPD9	DPY19L3
Q9UBK7	RABL2A
Q9UBK7	RABL2A
O14737	PDCD5
Q9UKA9	PTBP2
Q96NW4	ANKRD27
Q6ZS82	RGS9BP
A8MXV4	NUDT19
Q587J7	TDRD12
P82251	SLC7A9
Q96ST8	CEP89
Q9BTP7	C19orf40
Q8IUC4	RHPN2
A8MT19	RHPN2
Q12882	DPYD
Q9BRR8	GPATCH1
Q9UNH6	SNX7
Q6ZMY6	WDR88
O75074	LRP3
Q9NS82	SLC7A10
P49715	CEBPA
P53567	CEBPG
P12955	PEPD
Q9H2A9	CHST8
Q9H2A9	CHST8
Q9H2A9	CHST8
Q96SI1	KCTD15
Q96SI1	KCTD15
Q9NP74	PALMD
Q8ND56	LSM14A
Q6ZNA5	FRRS1
Q8NFR7	CCDC148
O15063	KIAA0355
P06744	GPI
Q15768	EFNB3
Q9P225	DNAH2
Q9BU20	RSG1
Q5TEV5	C1orf134
Q6P3S6	FBXO42
Q7Z422	C1orf144
Q99569	PKP4
O15054	KDM6B
Q6PEY1	TMEM88
Q9BRA0	LSMD1
Q7Z572	SPATA21
Q6P9G0	CYB5D1
Q12873	CHD3
Q9NVZ3	NECAP2
Q9NVZ3	NECAP2
A0PJW8	DAPL1
Q9C0D5	TANC1
Q2TV78	MST1P9
Q8N9V3	WDSUB1
Q8N9V3	WDSUB1
Q8N9V3	WDSUB1
O43448	KCNAB3
Q5TZA2	CROCC
Q9Y5R8	TRAPPC1
Q9UIF8	BAZ2B
P11055	MYH3
Q8N137	CNTROB
Q9UKD2	MRTO4
Q9NS40	KCNH7
O75880	SCO1
Q02846	GUCY2D
Q5HY92	FIGN
Q8NHP1	AKR7L
Q8NDZ2	AKR7L
O15296	ALOX15B
Q3LIE5	C17orf48
P55001	MFAP2
Q14449	GRB14
Q6QAJ8	TMEM220
O95154	AKR7A3
P0C851	PIRT
Q6ZSJ9	SHISA6
Q6ZSJ9	SHISA6
Q6ZSJ9	SHISA6
Q6ZSJ9	SHISA6
Q9NQ11	ATP13A2
O43488	AKR7A2
O75342	ALOX12B
Q9BYJ1	ALOXE3
Q9BYJ1	ALOXE3
Q9BYJ1	ALOXE3
Q53SF7	COBLL1
